steam_id1,steam_id2,count
STEAM_0:1:22546276,STEAM_0:0:41794979,1
STEAM_0:1:22546276,STEAM_0:0:5556948,1
STEAM_0:0:45288553,STEAM_0:0:40963328,1
STEAM_0:0:45288553,STEAM_0:1:31226117,1
STEAM_0:0:45288553,STEAM_0:0:41794979,1
STEAM_0:0:45288553,STEAM_0:0:5556948,1
STEAM_0:0:40963328,STEAM_0:1:31226117,1
STEAM_0:0:40963328,STEAM_0:0:41794979,1
STEAM_0:0:40963328,STEAM_0:0:5556948,1
STEAM_0:1:31226117,STEAM_0:0:41794979,1
STEAM_0:1:31226117,STEAM_0:0:5556948,1
STEAM_0:0:41794979,STEAM_0:0:5556948,1
STEAM_0:1:25727999,STEAM_0:1:4541761,1
STEAM_0:1:25727999,STEAM_0:0:5600897,1
STEAM_0:1:25727999,STEAM_0:1:19241924,1
STEAM_0:1:25727999,STEAM_0:1:1524315,1
STEAM_0:1:25727999,STEAM_0:1:8589161,1
STEAM_0:1:25727999,STEAM_0:0:20805809,1
STEAM_0:1:25727999,STEAM_0:1:60619,1
STEAM_0:1:25727999,STEAM_0:0:132247,1
STEAM_0:1:25727999,STEAM_0:1:18696761,1
STEAM_0:1:25727999,STEAM_0:0:4869176,1
STEAM_0:1:25727999,STEAM_0:1:18504112,1
STEAM_0:1:4541761,STEAM_0:0:5600897,1
STEAM_0:1:4541761,STEAM_0:1:19241924,1
STEAM_0:1:4541761,STEAM_0:1:8589161,5
STEAM_0:1:4541761,STEAM_0:1:60619,3
STEAM_0:1:4541761,STEAM_0:0:132247,1
STEAM_0:1:4541761,STEAM_0:0:4869176,1
STEAM_0:0:5600897,STEAM_0:1:19241924,1
STEAM_0:0:5600897,STEAM_0:1:1524315,1
STEAM_0:0:5600897,STEAM_0:1:8589161,1
STEAM_0:0:5600897,STEAM_0:0:20805809,1
STEAM_0:0:5600897,STEAM_0:1:60619,1
STEAM_0:0:5600897,STEAM_0:0:132247,1
STEAM_0:0:5600897,STEAM_0:1:18696761,1
STEAM_0:0:5600897,STEAM_0:0:4869176,1
STEAM_0:0:5600897,STEAM_0:1:18504112,1
STEAM_0:1:19241924,STEAM_0:1:1524315,1
STEAM_0:1:19241924,STEAM_0:1:8589161,1
STEAM_0:1:19241924,STEAM_0:0:20805809,1
STEAM_0:1:19241924,STEAM_0:1:60619,1
STEAM_0:1:19241924,STEAM_0:0:132247,1
STEAM_0:1:19241924,STEAM_0:1:18696761,1
STEAM_0:1:19241924,STEAM_0:0:4869176,1
STEAM_0:1:19241924,STEAM_0:1:18504112,1
STEAM_0:1:1524315,STEAM_0:1:8589161,2
STEAM_0:1:1524315,STEAM_0:1:60619,2
STEAM_0:1:1524315,STEAM_0:0:132247,1
STEAM_0:1:1524315,STEAM_0:0:4869176,1
STEAM_0:1:8589161,STEAM_0:0:20805809,4
STEAM_0:1:8589161,STEAM_0:1:60619,3
STEAM_0:1:8589161,STEAM_0:0:132247,1
STEAM_0:1:8589161,STEAM_0:1:18696761,4
STEAM_0:1:8589161,STEAM_0:0:4869176,1
STEAM_0:1:8589161,STEAM_0:1:18504112,5
STEAM_0:0:20805809,STEAM_0:1:60619,3
STEAM_0:0:20805809,STEAM_0:0:132247,1
STEAM_0:0:20805809,STEAM_0:0:4869176,1
STEAM_0:1:60619,STEAM_0:0:132247,1
STEAM_0:1:60619,STEAM_0:1:18696761,2
STEAM_0:1:60619,STEAM_0:0:4869176,1
STEAM_0:1:60619,STEAM_0:1:18504112,2
STEAM_0:0:132247,STEAM_0:1:18696761,1
STEAM_0:0:132247,STEAM_0:0:4869176,1
STEAM_0:0:132247,STEAM_0:1:18504112,1
STEAM_0:1:18696761,STEAM_0:0:4869176,1
STEAM_0:1:18696761,STEAM_0:1:18504112,5
STEAM_0:0:4869176,STEAM_0:1:18504112,1
STEAM_0:1:12336582,STEAM_0:0:26431514,2
STEAM_0:1:12336582,STEAM_0:0:15653274,2
STEAM_0:1:12336582,STEAM_0:1:42172826,2
STEAM_0:1:12336582,STEAM_0:0:154182,2
STEAM_0:1:12336582,STEAM_0:1:1855127,2
STEAM_0:1:12336582,STEAM_0:0:17757495,2
STEAM_0:1:12336582,STEAM_0:0:8520477,2
STEAM_0:1:12336582,STEAM_0:1:13810602,4
STEAM_0:1:12336582,STEAM_0:0:27788728,2
STEAM_0:1:12336582,STEAM_0:1:7535486,2
STEAM_0:1:12336582,STEAM_0:0:3298715,2
STEAM_0:0:26431514,STEAM_0:0:15653274,2
STEAM_0:0:26431514,STEAM_0:1:42172826,4
STEAM_0:0:26431514,STEAM_0:1:1855127,4
STEAM_0:0:26431514,STEAM_0:1:13810602,4
STEAM_0:0:26431514,STEAM_0:0:3298715,4
STEAM_0:0:15653274,STEAM_0:1:42172826,4
STEAM_0:0:15653274,STEAM_0:0:154182,4
STEAM_0:0:15653274,STEAM_0:1:1855127,6
STEAM_0:0:15653274,STEAM_0:0:17757495,4
STEAM_0:0:15653274,STEAM_0:0:8520477,4
STEAM_0:0:15653274,STEAM_0:1:13810602,6
STEAM_0:0:15653274,STEAM_0:0:27788728,2
STEAM_0:0:15653274,STEAM_0:1:7535486,4
STEAM_0:0:15653274,STEAM_0:0:3298715,5
STEAM_0:1:42172826,STEAM_0:0:154182,2
STEAM_0:1:42172826,STEAM_0:1:1855127,4
STEAM_0:1:42172826,STEAM_0:0:17757495,4
STEAM_0:1:42172826,STEAM_0:0:8520477,2
STEAM_0:1:42172826,STEAM_0:1:13810602,6
STEAM_0:1:42172826,STEAM_0:0:27788728,2
STEAM_0:1:42172826,STEAM_0:1:7535486,2
STEAM_0:1:42172826,STEAM_0:0:3298715,6
STEAM_0:0:154182,STEAM_0:1:1855127,4
STEAM_0:0:154182,STEAM_0:1:13810602,4
STEAM_0:0:154182,STEAM_0:0:3298715,4
STEAM_0:1:1855127,STEAM_0:0:17757495,4
STEAM_0:1:1855127,STEAM_0:0:8520477,2
STEAM_0:1:1855127,STEAM_0:1:13810602,6
STEAM_0:1:1855127,STEAM_0:0:27788728,2
STEAM_0:1:1855127,STEAM_0:1:7535486,2
STEAM_0:1:1855127,STEAM_0:0:3298715,4
STEAM_0:0:17757495,STEAM_0:1:13810602,4
STEAM_0:0:17757495,STEAM_0:0:3298715,2
STEAM_0:0:8520477,STEAM_0:1:13810602,4
STEAM_0:0:8520477,STEAM_0:0:3298715,4
STEAM_0:1:13810602,STEAM_0:0:27788728,2
STEAM_0:1:13810602,STEAM_0:1:7535486,2
STEAM_0:1:13810602,STEAM_0:0:3298715,2
STEAM_0:0:27788728,STEAM_0:0:3298715,4
STEAM_0:1:7535486,STEAM_0:0:3298715,4
STEAM_0:0:27788728,STEAM_0:0:15653274,2
STEAM_0:0:27788728,STEAM_0:1:1855127,2
STEAM_0:0:27788728,STEAM_0:1:42172826,2
